Molecule ChEMBL ID,Molecule Name,Molecular Weight,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Assay Description,Target ChEMBL ID,Target Name,Target Organism,Document ChEMBL ID
CHEMBL939,GEFITINIB,446.91,4.28,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,IC50,'=',1100.0,nM,5.96,CHEMBL2446217,Inhibition of EGFR in shed membrane vesicles of human A431 cells using poly-Glu-Tyr as substrate after 30 mins by ELISA,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL2440093
CHEMBL4293690,,420.52,3.73,COc1ccc(OC)c(Nc2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)c1,IC50,'=',288.0,nM,6.54,CHEMBL4267255,Inhibition of N-terminal GST-tagged wild type human EGFR cytoplasmic domain (669 to 1210 residues) expressed in baculovirus expression system using FAM-labeled peptide as substrate after 10 mins by mobility shift assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4265907
CHEMBL271705,,481.94,3.43,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCOCC4)c23)ccc1OCc1ccccn1,IC50,'=',1.0,nM,9.0,CHEMBL947896,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1143160
CHEMBL3347487,,463.77,,CC1(C)[C@H]2CC3OB(COc4ccc5ncnc(Nc6cccc(Cl)c6)c5c4)O[C@@]3(C)[C@@H]1C2,IC50,'=',200.0,nM,6.7,CHEMBL3391161,Inhibition of EGFR kinase (unknown origin) using poly(Glu:Tyr) as substrate,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3390847
CHEMBL4073595,,629.09,3.28,COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IC50,'=',4.53,nM,8.34,CHEMBL4046770,Inhibition of wild type recombinant EGFR (unknown origin) by ELISA,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4043197
CHEMBL4085902,,486.41,5.91,COc1cc(Br)c(/C=C2\CC(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N/O)cc1OC,IC50,'=',2900.0,nM,5.54,CHEMBL4034792,Inhibition of His6-tagged recombinant EGFR cytoplasmic domain (unknown origin) (645 to 1186 residues) expressed in baculovirus infected Sf-9 cells preincubated for 10 mins followed by ATP addition measured after 1 hr by DELFIA/Time-Resolved fluorometry,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033650
CHEMBL4103201,,388.44,2.3,C=CC(=O)N1CCC[C@@H](n2nc(-c3cnc4[nH]ccc4c3)c3c(N)ncnc32)C1,IC50,'=',10.0,nM,8.0,CHEMBL4041412,Inhibition of wild type N-terminal GST-fused human EGFR cytoplasmic domain expressed in baculovirus expression system preincubated for 30 mins followed by ATP and TK-substrate addition measured after 25 mins by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4038351
CHEMBL2180204,,416.41,3.44,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,IC50,'=',30.0,nM,7.52,CHEMBL4041413,Inhibition of human recombinant GST-tagged EGFR L858R mutant expressed in baculovirus expression system preincubated for 30 mins followed by ATP and TK-substrate addition measured after 15 mins by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4038351
CHEMBL4075015,,441.54,3.64,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(N(C)C)c4ccccc34)c3c(N)ncnc32)C1,IC50,'=',270.0,nM,6.57,CHEMBL4041413,Inhibition of human recombinant GST-tagged EGFR L858R mutant expressed in baculovirus expression system preincubated for 30 mins followed by ATP and TK-substrate addition measured after 15 mins by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4038351
CHEMBL4100655,,366.4,2.56,C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(F)c3)c3c(N)ncnc32)C1,IC50,'=',230.0,nM,6.64,CHEMBL4041414,Inhibition of recombinant human GST-tagged EGFR L858R/T790M double mutant expressed in baculovirus expression system preincubated for 30 mins followed by ATP and TK-substrate addition measured after 20 mins by HTRF assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4038351
CHEMBL172517,,282.3,3.56,CCOc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,IC50,'=',31800.0,nM,4.5,CHEMBL4231196,Inhibition of recombinant human EGFR using peptide as substrate by fluorimetric analysis,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4229349
CHEMBL553,ERLOTINIB,393.44,3.41,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,IC50,'=',80.0,nM,7.1,CHEMBL4231282,Inhibition of His-6 tagged recombinant EGFR cytoplasmic domain (645 to 1186 residues) (unknown origin) expressed in Baculovirus infected Sf9 cells by dissociation-enhanced lanthanide fluorescence immunoassay/time-resolved fluorometric analysis,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4229351
CHEMBL241990,,422.85,4.99,COc1cc(NCc2c[nH]cn2)cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc12,IC50,'=',2080.0,nM,5.68,CHEMBL896194,Inhibition of P-EGFR expressed in A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1148782
CHEMBL241988,,471.72,5.74,N#Cc1cnc2c(Br)cc(NCc3c[nH]cn3)cc2c1Nc1ccc(F)c(Cl)c1,IC50,'=',3300.0,nM,5.48,CHEMBL896194,Inhibition of P-EGFR expressed in A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1148782
CHEMBL410659,,460.59,5.39,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,IC50,'=',9600.0,nM,5.02,CHEMBL921277,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1143953
CHEMBL4061283,,528.45,6.01,CC[C@H](C)[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,'=',55.5,nM,7.26,CHEMBL4011794,Inhibition of EGFR (unknown origin) measured after 40 mins by Kinase Glo luminescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4011588
CHEMBL309937,,266.35,3.88,CCc1ccc(Nc2ncnc3[nH]c(C)c(C)c23)cc1,IC50,'=',77500.0,nM,4.11,CHEMBL677880,In vitro inhibitory activity against epidermal growth factor receptor,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1129072
CHEMBL4094471,,310.74,3.86,Clc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,IC50,'=',4497.8,nM,5.35,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL4075892,,282.33,3.27,c1csc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)c1,IC50,'=',100000.0,nM,4.0,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL4084249,,306.33,3.21,COc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,IC50,'=',97.95,nM,7.01,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL4090323,,294.29,3.34,Fc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,IC50,'=',100000.0,nM,4.0,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL4066118,,340.39,4.28,c1ccc2c(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)cccc2c1,IC50,'=',5701.64,nM,5.24,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL4087489,,331.38,2.47,C1=CC2=C(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)CNC2C=C1,IC50,'=',86297.85,nM,4.06,CHEMBL3995335,Inhibition of EGF induced EGFR phosphorylation in human KB cells preincubated for 90 mins followed by EGF addition for 5 mins by sandwich ELISA method,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL3994595
CHEMBL293749,,308.34,2.36,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,IC50,'=',930.0,nM,6.03,CHEMBL763200,Inhibition of polyGAT phosphorylation,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1125266
CHEMBL306081,,272.74,3.97,Cc1[nH]c2ncnc(Nc3cccc(Cl)c3)c2c1C,IC50,'=',27.0,nM,7.57,CHEMBL677880,In vitro inhibitory activity against epidermal growth factor receptor,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1129072
CHEMBL522785,,509.6,6.44,COc1cc2nc(Nc3cc(C)[nH]n3)nc(Nc3cccc(-c4nc5ccccc5s4)c3)c2cc1OC,IC50,'=',3300.0,nM,5.48,CHEMBL964945,Inhibition of EGFR by virtual HTS assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1153282
CHEMBL4102284,,420.56,4.14,Cc1nc(C)c(/C=C2\CN(C(C)C)C/C(=C\c3nc(C)c(C)nc3C)C2=NO)nc1C,IC50,'=',3900.0,nM,5.41,CHEMBL4034792,Inhibition of His6-tagged recombinant EGFR cytoplasmic domain (unknown origin) (645 to 1186 residues) expressed in baculovirus infected Sf-9 cells preincubated for 10 mins followed by ATP addition measured after 1 hr by DELFIA/Time-Resolved fluorometry,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033650
CHEMBL4064361,,487.4,4.42,COc1cc(Br)c(/C=C2\CN(C)CC(=C\c3nc(C)c(C)nc3C)/C2=N\O)cc1OC,IC50,'=',20.0,nM,7.7,CHEMBL4034792,Inhibition of His6-tagged recombinant EGFR cytoplasmic domain (unknown origin) (645 to 1186 residues) expressed in baculovirus infected Sf-9 cells preincubated for 10 mins followed by ATP addition measured after 1 hr by DELFIA/Time-Resolved fluorometry,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033650
CHEMBL514016,,423.33,6.96,Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2c1,IC50,'=',800.0,nM,6.1,CHEMBL964945,Inhibition of EGFR by virtual HTS assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1153282
CHEMBL142148,,379.46,5.66,O=C(NCc1ccccc1)c1ccc(-c2cc(O)cc(-c3ccccc3)c2)cc1,IC50,'=',8000.0,nM,5.1,CHEMBL678922,In vitro inhibition of EGF-stimulated DNA synthesis of ER 22 cells by following the incorporation of methyl-[3H]thymidine.,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1128699
CHEMBL474543,,387.9,6.91,Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ccnc2c1,IC50,'=',5300.0,nM,5.28,CHEMBL964945,Inhibition of EGFR by virtual HTS assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1153282
CHEMBL155389,,296.4,3.45,O=C(CC1C(S)=Nc2ccccc21)NCc1ccccc1,IC50,'=',100000.0,nM,4.0,CHEMBL673450,Inhibition of the tyrosine kinase activity of the human epidermal growth factor receptor (EGFR),CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1127622
CHEMBL507329,GW869810X,608.1,5.36,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCOCC1,IC50,'=',65.0,nM,7.19,CHEMBL995846,Inhibition of EGFR kinase,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1143444
CHEMBL1243345,,499.95,5.44,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)CCF,IC50,'=',0.8,nM,9.1,CHEMBL1249168,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1240526
CHEMBL1243284,,471.89,4.7,CNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCF,IC50,'=',0.29,nM,9.54,CHEMBL1249168,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1240526
CHEMBL1243283,,567.0,4.89,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CNCc1cn(CCF)nn1,IC50,'=',21.97,nM,7.66,CHEMBL1246645,Inhibition of EGFR autophosphorylation in human A431 cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1240526
CHEMBL249496,,508.63,4.36,Nc1ncnc2c1c(-c1ccc3nc(Cc4ccccc4)[nH]c3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1,IC50,'=',270.0,nM,6.57,CHEMBL964130,Inhibition of EGFR L858R mutant by time resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1153290
CHEMBL1272006,,311.41,3.33,OC[C@@H](Nc1ncnc2sc3c(c12)CCC3)c1ccccc1,IC50,'=',1090.0,nM,5.96,CHEMBL1273341,Inhibition of EGFR,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1269003
CHEMBL29197,,360.21,4.15,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,IC50,'=',0.029,nM,10.54,CHEMBL680021,Inhibitory potency against isolated epidermal growth factor receptor (EGFR) from human A431 carcinoma cells,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1129564
CHEMBL1242758,,318.38,3.67,Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,IC50,'=',1400.0,nM,5.85,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1240340
CHEMBL1241492,,295.31,2.19,CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21,IC50,'=',8300.0,nM,5.08,CHEMBL1243977,Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1240340
CHEMBL57758,,416.88,4.65,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CCCC1,IC50,'=',87.0,nM,7.06,CHEMBL677210,In vitro inhibitory activity against Epidermal growth factor receptor (EGFR-TK) from A431 vulval squamous carcinoma cells using TKI assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1134804
CHEMBL1683954,,421.86,6.38,Fc1cccc(COc2ccc(Nc3cc(Oc4ccccc4)ncn3)cc2Cl)c1,IC50,'=',10000.0,nM,5.0,CHEMBL1686143,Inhibition of EGFR by homogeneous time-resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1681756
CHEMBL1683969,,528.0,5.37,CCN1CCN(C(=O)/C(F)=C/c2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,IC50,'=',156.0,nM,6.81,CHEMBL1686143,Inhibition of EGFR by homogeneous time-resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1681756
CHEMBL1683973,,479.0,6.13,Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCCC1,IC50,'=',11.0,nM,7.96,CHEMBL1686143,Inhibition of EGFR by homogeneous time-resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1681756
CHEMBL1090359,,579.64,6.44,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1)c1c(F)cccc1F,IC50,'=',2.3,nM,8.64,CHEMBL1108837,Inhibition of EGFR L858R mutant by time resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1156213
CHEMBL4078801,,602.72,4.39,CCC(=O)N1CC[C@H](N2C(=O)N(c3cccc(OC)c3F)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)C1,IC50,'=',421.0,nM,6.38,CHEMBL4038017,Inhibition of recombinant human wild type GST-tagged EGFR cytoplasmic domain (668 to 1210 residues) expressed in baculovirus using tyr4 peptide as substrate after 1 hr by FRET-based Z'-Lyte assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL4033795
CHEMBL1093234,,488.58,6.52,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccccc3)n2)c1)c1ccccc1,IC50,'=',55.0,nM,7.26,CHEMBL1108837,Inhibition of EGFR L858R mutant by time resolved fluorescence assay,CHEMBL203,Epidermal growth factor receptor,Homo sapiens,CHEMBL1156213
